replication,delta_E
450,-0.19432624594795692
451,-0.1571026226763704
452,-0.3476628007907218
453,-0.1725373728262158
454,-0.33356092506760743
455,-0.2639716183987722
456,0.0408836291167198
457,-0.30934727877687523
458,-0.23192154986226166
459,-0.3413386438239676
460,-0.2633711461392743
461,-0.2516648718154615
462,-0.09316325807857512
463,-0.3626988822915986
464,-0.2862892438743929
465,-0.29995977905002286
466,-0.22137459240765717
467,-0.2852179059953745
468,-0.2871426569375404
469,-0.2958239215599763
470,-0.27216586802000414
471,-0.1925598561349815
472,-0.18991491968151228
473,-0.25565334568688863
474,-0.1709702853561774
475,-0.15437833036831228
476,-0.34602194963498856
477,-0.24331059712142727
478,-0.2931880116225498
479,-0.19476531642903724
480,-0.34310662611583187
481,-0.1698550719228026
482,-0.1139362660101401
483,0.10933738751767866
484,-0.2668580883247088
485,-0.247020362489089
486,-0.35383764010996327
487,-0.08926519112867062
488,-0.20453065263155193
489,0.011491856703867528
490,-0.255790225910447
491,-0.2685311723602626
492,-0.15022033449796146
493,-0.21907860502167809
494,-0.1767801299429778
495,-0.2302958009959443
496,-0.2603949903846878
497,-0.18354968552110526
498,-0.10081101853689323
499,-0.20007834838887772
500,-0.394357274779857
501,-0.403069753493355
502,-0.4631733282992645
503,-0.20761348121310041
504,-0.2140632646738201
505,-0.24136687805197907
506,-0.1489302869747161
507,-0.0650514294287267
508,-0.29058355723872564
509,-0.2759859271233039
510,0.03769540568714607
511,-0.2554484983205741
512,-0.2863351642091187
513,-0.41484579013438594
514,-0.3252272692373
515,-0.3320044233141339
516,-0.14319477948735887
517,-0.04602690529078115
518,-0.3525278490332221
519,-0.22619914886873144
520,-0.2820793611404954
521,-0.2110573211301092
522,-0.37423915802565577
523,-0.21279958930487505
524,-0.44524646717536764
525,-0.16833569111827554
526,-0.1860665405445346
527,-0.23156892847775853
528,-0.21744025229835953
529,-0.3177515366359218
530,-0.13437541053893973
531,0.14115727058016406
532,-0.08427761404307779
533,-0.24554683728973717
534,-0.22136548818838123
535,-0.4356075565839129
536,-0.01353686003993062
537,-0.2768585626088329
538,-0.20197236041249847
539,-0.24415090255817737
540,-0.287421873931572
541,-0.27675658776835277
542,-0.17050657582726272
543,-0.2819766104721409
544,-0.24242450071091068
545,-0.11263192862062729
546,-0.24435151609816164
547,-0.2622812961658419
548,-0.2790391217163872
549,-0.2416453328412735
550,-0.3452795279798519
551,-0.3345968274136101
552,-0.1428003798181269
553,-0.43524092235114226
554,-0.16243725973441922
555,-0.097888318165337
556,-0.14504845874979416
557,-0.40838331890655705
558,-0.2593572150767485
559,-0.24678721316082392
560,-0.31061029512927635
561,-0.18635532940941868
562,-0.18334232342086987
563,0.03773993596334815
564,-0.2815457770581084
565,-0.08535956656778865
566,-0.24616999043112556
567,-0.014769236480471869
568,-0.1788247610064934
569,-0.1733911973256982
570,-0.34511581626605753
571,-0.08763276971272858
572,-0.17120923284625117
573,-0.368849483362492
574,-0.2236036410485325
575,-0.1050786769546291
576,-0.13899773473556046
577,-0.058126144956081045
578,-0.29458347998428885
579,-0.18156071252638128
580,-0.30904173129164475
581,-0.2751398793839046
582,-0.17919093780111825
583,-0.04925903120177833
584,-0.35024343158404814
585,-0.10767849765622294
586,-0.25009756052601284
587,-0.4363128333059476
588,-0.2119082483638935
589,-0.14496215751983715
590,-0.1155208811003165
591,-0.36774407454113384
592,0.013197404976005798
593,-0.1468472940625641
594,-0.30062237693146704
595,-0.11359317423108956
596,-0.4670262406110058
597,-0.20836048787733313
598,-0.33347537552232864
599,-0.2614318198866869
600,-0.3382672208695661
601,-0.4025959859556292
602,-0.20568864016607102
603,-0.11553024510665487
604,-0.2385946536204136
605,-0.13444743025672998
606,-0.1737184788189785
607,-0.10543410951550194
608,-0.17304726025134468
609,-0.11323937246576456
610,-0.28239031606692966
611,-0.2267731872501875
612,-0.5146645484554935
613,-0.22894954182399904
614,-0.4860771375344415
615,-0.20464180950264585
616,0.04509560145739544
617,-0.22283997530157268
618,-0.23264123296691436
619,-0.46236915029141545
620,-0.21221811648030614
621,-0.3170040537804878
622,-0.0692682389018592
623,-0.29003881864613673
624,-0.19657242624178367
625,-0.18399817277175184
626,-0.4500612404763279
627,-0.31704632653263115
628,-0.33600762309939675
629,-0.016961503231864492
630,-0.349666520092245
631,-0.3686425403129527
632,-0.03816641305728315
633,-0.22865147454071502
634,-0.3826992479057888
635,-0.10186737317603362
636,-0.21244256468995623
637,-0.12998597567523612
638,-0.3457878299863198
639,-0.37159129952545217
640,-0.30426158107092105
641,-0.35049073535465325
642,-0.3000547904091915
643,-0.2650221032296918
644,-0.09648860712089866
645,-0.3571639819613355
646,-0.2964448446552708
647,-0.2520346139975134
648,-0.15149854730644907
649,-0.2452683559622588
650,-0.22256194838497462
651,-0.25822396737274633
652,-0.33943531232126395
653,-0.2718343791077904
654,-0.3430162926722273
655,-0.12010882641806533
656,-0.1579238005802309
657,-0.3186299100610057
658,-0.31940237946947575
659,-0.20885920489752818
660,-0.30041791255168504
661,-0.3026794583812049
662,-0.10411819910755278
663,0.06814047618292916
664,-0.08359648657049612
665,-0.006790547035247962
666,-0.41300335427695883
667,-0.33611796767357816
668,-0.19551655513487456
669,-0.39439417780022984
670,-0.26687238903434446
671,-0.15769319824639752
672,-0.019832531767231147
673,-0.1675485388373194
674,-0.0480923347076386
675,-0.27215700243223856
676,-0.27485401949332544
677,-0.3163774130537897
678,-0.2772313369902433
679,-0.21474005790661554
680,-0.37882437258631224
681,-0.16079707636117632
682,-0.3458381540861505
683,-0.2298491964341957
684,-0.2743624034525541
685,-0.12376824949416475
686,-0.29172795556648434
687,-0.25868359312066985
688,-0.09970455781883432
689,-0.26337567480815377
690,-0.27222097519310645
691,-0.18045263494882452
692,-0.1733866601370526
693,-0.051233262436697916
694,-0.3086787981167662
695,-0.13799722371713366
