Date,TAN ret,SPY ret,p,Δp
2024-06-13,-0.0242286485828224,0.0020133940666877,0.565,0.0
2024-06-14,-0.0280136009902161,0.0006086168451322,0.565,0.0
2024-06-17,-0.0189956081502419,0.0079587117504431,0.565,0.0
2024-06-18,0.0040062500709245,0.0025409495828079,0.565,0.0
2024-06-20,-0.0297051764740474,-0.0027166723940167,0.565,0.0
2024-06-21,-0.0123371855161104,-0.0013407223559952,0.565,0.0
2024-06-24,-0.0062456907961391,-0.0032505104166534,0.585,0.02
2024-06-25,-0.0304934615373632,0.0038506386437702,0.595,0.01
2024-06-26,-0.0096038642985443,0.0012483859056016,0.595,0.0
2024-06-27,0.0196363595134421,0.0015762324036823,0.605,0.01
2024-06-28,-0.0439848207201636,-0.0039351799968621,0.625,0.02
2024-07-01,-0.0241232824550476,0.0020582538182398,0.675,0.05
2024-07-02,-0.0066259759986539,0.0067296623001427,0.65,-0.025
2024-07-03,0.0400206410182901,0.004462634526017,0.615,-0.035
2024-07-05,-0.0130736185603888,0.0057664843491094,0.605,-0.01
2024-07-08,0.0109973542613655,0.0011539842364671,0.605,0.0
2024-07-09,0.0069221044092058,0.0009723971750748,0.625,0.02
2024-07-10,0.0162041880357084,0.0098951692324951,0.625,0.0
2024-07-11,0.0454216736462282,-0.0086223439400604,0.6,-0.025
2024-07-12,0.028426171345534,0.0063072887831285,0.595,-0.005
2024-07-15,-0.0586516908137647,0.0027502882223955,0.705,0.1099999999999999
2024-07-16,0.037717839627571,0.0059301148603698,0.685,-0.0199999999999999
2024-07-17,-0.028295385798468,-0.0140210159830446,0.675,-0.01
2024-07-18,-0.0120738878080288,-0.0076850899114235,0.615,-0.06
2024-07-19,-0.0079078932222664,-0.0066405287279913,0.645,0.03
2024-07-22,0.0053139201057246,0.0103098544358584,0.625,-0.02
2024-07-23,-0.0043248634330005,-0.0015685071166898,0.605,-0.02
2024-07-24,0.0086872982445105,-0.0226626472489331,0.625,0.02
2024-07-25,0.0066986355932148,-0.0052103096575203,0.615,-0.01
2024-07-26,0.0144960900550463,0.0111996706163537,0.585,-0.03
2024-07-29,-0.0241274303325836,0.000588031560907,0.595,0.01
2024-07-30,-0.016322614312638,-0.0050663257078668,0.585,-0.01
2024-07-31,0.0280625141022123,0.0162542656755471,0.555,-0.0299999999999999
2024-08-01,-0.0170899457178227,-0.0141609848985414,0.535,-0.02
2024-08-02,-0.0294615431615314,-0.0186181434417095,0.525,-0.01
2024-08-05,-0.0266235217461101,-0.02912380664739,0.535,0.01
2024-08-06,0.0015337166301978,0.0092196072528221,0.515,-0.02
2024-08-07,0.0071464815913937,-0.0066840439764359,0.485,-0.03
2024-08-08,0.0187532430034917,0.0231172995013075,0.4915,0.0065
2024-08-09,-0.0201492493190669,0.0044096926107977,0.476,-0.0155
2024-08-12,-0.0033004206109281,0.0005252878444923,0.4585,-0.0174999999999999
2024-08-13,0.0356597926285955,0.0164458476009843,0.4555,-0.003
2024-08-14,-0.0145105676897561,0.0031544337741808,0.447,-0.0085
2024-08-15,0.0259546220569657,0.017140511749472,0.443,-0.004
2024-08-16,-0.0099733077800211,0.0022419933971566,0.4545,0.0115
2024-08-19,0.0221130281301109,0.0095613173891626,0.486,0.0314999999999999
2024-08-20,-0.0206730066565656,-0.0016261722061099,0.5025,0.0164999999999999
2024-08-21,0.0095728812308932,0.0034365717663653,0.521,0.0185
2024-08-22,-0.0255288010251897,-0.0078482914048609,0.5175,-0.0035
2024-08-23,0.0521456437677354,0.0106252723996782,0.5015,-0.016
2024-08-26,-0.0116196671905648,-0.0023839189947704,0.4945,-0.0069999999999999
2024-08-27,-0.0035988341131358,0.0013731822465194,0.5035,0.0089999999999999
2024-08-28,-0.0146881619069825,-0.0058052964303829,0.503,-0.0004999999999999
2024-08-29,-0.0034213461835548,8.964093266849993e-05,0.498,-0.005
2024-08-30,0.0122608950612264,0.0095458476748766,0.4995,0.0015
2024-09-03,-0.0353681830389629,-0.020579029118164,0.5115,0.0119999999999999
2024-09-04,0.0115519829606012,-0.0020467179064785,0.5295,0.018
2024-09-05,-0.0071995297706889,-0.002432180583086,0.528,-0.0014999999999999
2024-09-06,-0.0255064267909126,-0.0168303176489552,0.5055,-0.0225
2024-09-09,-0.020528660926005,0.0111962548029911,0.5225,0.017
